method,case_id,category,fake_map_name,synthetic_key_label,synthetic_value_label,operation_sequence_label,expected_observation,actual_observation,expected_success,actual_success,zig_harness_matched,count_matched,lookup_remove_fetch_getorput_matched,capacity_clear_matched,churn_timing_local_only,string_key_lifetime_tested,iterator_concurrency_not_run,version_compatibility_local_only,production_performance_not_tested,expected_fail_for_naive,output_bytes,elapsed_sec,failure_reason,skip_reason
preserve_original_case_baseline,auto_hashmap_insert_lookup_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,4.7478824853897095e-06,,
preserve_original_case_baseline,auto_hashmap_remove_existing_marker,remove,sample_remove_case,demo_hash_key,demo_hash_key,sample_remove_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,2.040993422269821e-06,,
preserve_original_case_baseline,auto_hashmap_remove_missing_marker,remove,sample_remove_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,1.223292201757431e-06,,
preserve_original_case_baseline,auto_hashmap_fetch_remove_marker,remove,sample_remove_case,demo_hash_key,demo_hash_key,fetch_remove_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.803987056016922e-06,,
preserve_original_case_baseline,get_or_put_existing_marker,get_or_put,example_map_case,fake_key,demo_hash_key,get_or_put_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.862194716930389e-06,,
preserve_original_case_baseline,get_or_put_new_initialize_marker,get_or_put,example_map_case,demo_hash_key,demo_hash_key,get_or_put_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,3.745313733816147e-06,,
preserve_original_case_baseline,contains_after_remove_marker,remove,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.7350691854953766e-06,,
preserve_original_case_baseline,count_after_remove_marker,remove,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.8496218621730804e-06,,
preserve_original_case_baseline,count_after_reinsert_marker,churn,synthetic_churn_case,fake_key,demo_hash_key,synthetic_churn_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.986060619354248e-06,,
preserve_original_case_baseline,clear_retaining_capacity_marker,capacity,synthetic_capacity_case,fake_key,demo_hash_key,clear_retaining_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,4.10107895731926e-06,,
preserve_original_case_baseline,clear_and_free_marker,capacity,synthetic_capacity_case,fake_key,demo_hash_key,clear_free_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.6517158150672913e-06,,
preserve_original_case_baseline,repeated_remove_reinsert_churn_marker,churn,synthetic_churn_case,toy_tombstone_context,demo_hash_key,synthetic_churn_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.887340426445007e-06,,
preserve_original_case_baseline,tombstone_context_marker,churn,toy_tombstone_context,toy_tombstone_context,demo_hash_key,tombstone_context,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.79001721739769e-06,,
preserve_original_case_baseline,load_factor_context_marker,churn,hashmap_policy_case,fake_key,demo_hash_key,load_factor_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.7942081689834595e-06,,
preserve_original_case_baseline,capacity_growth_context_marker,capacity,synthetic_capacity_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.788154572248459e-06,,
preserve_original_case_baseline,small_map_no_churn_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.7923455238342285e-06,,
preserve_original_case_baseline,insert_only_workload_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,insert_only_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.883615136146545e-06,,
preserve_original_case_baseline,delete_heavy_workload_marker,churn,synthetic_churn_case,fake_key,demo_hash_key,delete_heavy_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,3.6763958632946014e-06,,
preserve_original_case_baseline,lookup_after_churn_marker,churn,synthetic_churn_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.6531127989292145e-06,,
preserve_original_case_baseline,replacement_value_update_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,overwrite_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.6568380892276764e-06,,
preserve_original_case_baseline,duplicate_put_overwrite_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,duplicate_put_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.655906766653061e-06,,
preserve_original_case_baseline,array_hash_map_context_marker,array_hashmap,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.6242417991161346e-06,,
preserve_original_case_baseline,array_hash_map_iteration_order_context_marker,array_hashmap,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,3.7997961044311523e-06,,
preserve_original_case_baseline,string_hash_map_stable_owned_key_marker,string_keys,demo_string_key_case,demo_string_key_case,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,True,False,True,True,False,918,3.6209821701049805e-06,,
preserve_original_case_baseline,string_hash_map_ephemeral_key_context_not_run_marker,string_keys,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,True,False,True,True,True,918,3.545079380273819e-06,,naive assumes ephemeral string bytes always safe
preserve_original_case_baseline,allocator_deinit_marker,allocator,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.7928111851215363e-06,,
preserve_original_case_baseline,allocator_leak_not_tested_marker,allocator,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,False,True,True,False,918,3.6852434277534485e-06,,
preserve_original_case_baseline,iterator_mutation_not_run_marker,iterator,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,3.6051496863365173e-06,,
preserve_original_case_baseline,concurrent_reader_not_tested_marker,concurrency,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,3.6391429603099823e-06,,
preserve_original_case_baseline,expensive_hash_context_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,4.086177796125412e-06,,
preserve_original_case_baseline,stored_hash_context_not_tested_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,3.86824831366539e-06,,
preserve_original_case_baseline,backshift_deletion_context_not_implemented_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.559049218893051e-06,,
preserve_original_case_baseline,rehash_patch_context_not_implemented_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.7080608308315277e-06,,
preserve_original_case_baseline,tigerbeetle_context_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,4.152767360210419e-06,,TigerBeetle noticed Zig HashMap churn – context only
preserve_original_case_baseline,pre_1_0_stdlib_maturity_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.874301910400391e-06,,
preserve_original_case_baseline,compiler_miscompile_not_tested_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,4.016794264316559e-06,,
preserve_original_case_baseline,factor_benchmark_not_run_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_run,skip,not_run,skip,True,True,True,True,True,False,True,True,True,False,918,3.8011930882930756e-06,,Factor benchmark not run – toy lab only
preserve_original_case_baseline,huge_benchmark_not_run_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_run,skip,not_run,skip,True,True,True,True,True,False,True,True,True,False,918,6.151851266622543e-06,,2M entry / 250M action benchmark not reproduced
preserve_original_case_baseline,no_external_dataset_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.779307007789612e-06,,synthetic keys only
preserve_original_case_baseline,no_network_input_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.7229619920253754e-06,,no network
preserve_original_case_baseline,no_package_manager_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.7741847336292267e-06,,no external packages
preserve_original_case_baseline,production_performance_not_tested_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,3.70759516954422e-06,,toy lab only
preserve_original_case_baseline,version_compatibility_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.6940909922122955e-06,,local_version_only
preserve_original_case_baseline,naive_policy_expected_fail_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,True,918,3.787688910961151e-06,,naive insert-only assumption
preserve_original_case_baseline,safety_caveat_marker,safety,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,3.705732524394989e-06,,toy lab – not production benchmark
preserve_original_case_baseline,auto_hashmap_basic_variant_1_marker,hashmap_basic,example_map_case,fake_key_1,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.6749988794326782e-06,,
preserve_original_case_baseline,auto_hashmap_basic_variant_2_marker,hashmap_basic,example_map_case,fake_key_2,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.5711564123630524e-06,,
preserve_original_case_baseline,auto_hashmap_basic_variant_3_marker,hashmap_basic,example_map_case,fake_key_3,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.5767443478107452e-06,,
preserve_original_case_baseline,auto_hashmap_basic_variant_4_marker,hashmap_basic,example_map_case,fake_key_4,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.635883331298828e-06,,
preserve_original_case_baseline,auto_hashmap_basic_variant_5_marker,hashmap_basic,example_map_case,fake_key_5,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.7709251046180725e-06,,
zig_compiler_discovery_checker,auto_hashmap_insert_lookup_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.99397686123848e-06,,
zig_compiler_discovery_checker,auto_hashmap_remove_existing_marker,remove,sample_remove_case,demo_hash_key,demo_hash_key,sample_remove_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.6526471376419067e-06,,
zig_compiler_discovery_checker,auto_hashmap_remove_missing_marker,remove,sample_remove_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.5157427191734314e-06,,
zig_compiler_discovery_checker,auto_hashmap_fetch_remove_marker,remove,sample_remove_case,demo_hash_key,demo_hash_key,fetch_remove_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.49339097738266e-06,,
zig_compiler_discovery_checker,get_or_put_existing_marker,get_or_put,example_map_case,fake_key,demo_hash_key,get_or_put_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.4761615097522736e-06,,
zig_compiler_discovery_checker,get_or_put_new_initialize_marker,get_or_put,example_map_case,demo_hash_key,demo_hash_key,get_or_put_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,3.5748817026615143e-06,,
zig_compiler_discovery_checker,contains_after_remove_marker,remove,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.5818666219711304e-06,,
zig_compiler_discovery_checker,count_after_remove_marker,remove,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.4621916711330414e-06,,
zig_compiler_discovery_checker,count_after_reinsert_marker,churn,synthetic_churn_case,fake_key,demo_hash_key,synthetic_churn_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.623776137828827e-06,,
zig_compiler_discovery_checker,clear_retaining_capacity_marker,capacity,synthetic_capacity_case,fake_key,demo_hash_key,clear_retaining_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,3.636348992586136e-06,,
zig_compiler_discovery_checker,clear_and_free_marker,capacity,synthetic_capacity_case,fake_key,demo_hash_key,clear_free_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.538094460964203e-06,,
zig_compiler_discovery_checker,repeated_remove_reinsert_churn_marker,churn,synthetic_churn_case,toy_tombstone_context,demo_hash_key,synthetic_churn_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.519933670759201e-06,,
zig_compiler_discovery_checker,tombstone_context_marker,churn,toy_tombstone_context,toy_tombstone_context,demo_hash_key,tombstone_context,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,3.5283155739307404e-06,,
zig_compiler_discovery_checker,load_factor_context_marker,churn,hashmap_policy_case,fake_key,demo_hash_key,load_factor_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,9.887851774692535e-06,,
zig_compiler_discovery_checker,capacity_growth_context_marker,capacity,synthetic_capacity_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.539987564086914e-06,,
zig_compiler_discovery_checker,small_map_no_churn_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.383991032838821e-06,,
zig_compiler_discovery_checker,insert_only_workload_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,insert_only_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.157213985919952e-06,,
zig_compiler_discovery_checker,delete_heavy_workload_marker,churn,synthetic_churn_case,fake_key,demo_hash_key,delete_heavy_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,7.139984518289566e-06,,
zig_compiler_discovery_checker,lookup_after_churn_marker,churn,synthetic_churn_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.161404937505722e-06,,
zig_compiler_discovery_checker,replacement_value_update_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,overwrite_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.192138582468033e-06,,
zig_compiler_discovery_checker,duplicate_put_overwrite_marker,hashmap_basic,example_map_case,fake_key,demo_hash_key,duplicate_put_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.295049726963043e-06,,
zig_compiler_discovery_checker,array_hash_map_context_marker,array_hashmap,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.073860615491867e-06,,
zig_compiler_discovery_checker,array_hash_map_iteration_order_context_marker,array_hashmap,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,True,918,7.3141418397426605e-06,,
zig_compiler_discovery_checker,string_hash_map_stable_owned_key_marker,string_keys,demo_string_key_case,demo_string_key_case,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,True,False,True,True,False,918,7.228925824165344e-06,,
zig_compiler_discovery_checker,string_hash_map_ephemeral_key_context_not_run_marker,string_keys,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,True,False,True,True,True,918,7.168855518102646e-06,,naive assumes ephemeral string bytes always safe
zig_compiler_discovery_checker,allocator_deinit_marker,allocator,example_map_case,fake_key,demo_hash_key,toy_lookup_case,success,success,success,success,True,True,True,True,True,False,False,True,True,False,918,7.087830454111099e-06,,
zig_compiler_discovery_checker,allocator_leak_not_tested_marker,allocator,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,False,True,True,False,918,6.983987987041473e-06,,
zig_compiler_discovery_checker,iterator_mutation_not_run_marker,iterator,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,6.954185664653778e-06,,
zig_compiler_discovery_checker,concurrent_reader_not_tested_marker,concurrency,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,7.073860615491867e-06,,
zig_compiler_discovery_checker,expensive_hash_context_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,7.028691470623016e-06,,
zig_compiler_discovery_checker,stored_hash_context_not_tested_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,7.19679519534111e-06,,
zig_compiler_discovery_checker,backshift_deletion_context_not_implemented_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,7.0766545832157135e-06,,
zig_compiler_discovery_checker,rehash_patch_context_not_implemented_marker,hash_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,6.994232535362244e-06,,
zig_compiler_discovery_checker,tigerbeetle_context_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,7.290393114089966e-06,,TigerBeetle noticed Zig HashMap churn – context only
zig_compiler_discovery_checker,pre_1_0_stdlib_maturity_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,context_only,skip,context_only,skip,True,True,True,True,True,False,True,True,True,False,918,7.1660615503787994e-06,,
zig_compiler_discovery_checker,compiler_miscompile_not_tested_marker,hn_context,example_map_case,fake_key,demo_hash_key,toy_lookup_case,not_tested,skip,not_tested,skip,True,True,True,True,True,False,True,True,True,False,918,7.058028131723404e-06,,
